"Path","Name","Extension","Size_KB","LastWriteTime"
"docs\index.md","index.md",".md","0.02","1/21/2026 12:55:28 PM"
"docs\Community\Contribution Guide.md","Contribution Guide.md",".md","10.13","1/27/2026 11:46:42 AM"
"docs\Community\Section Reviewers Mapping.md","Section Reviewers Mapping.md",".md","19.2","12/9/2025 1:13:34 PM"
"docs\Community\Teams-Channel-Links.md","Teams-Channel-Links.md",".md","1.94","12/9/2025 1:13:34 PM"
"docs\Community\CTCX Release Branches\000_Overview.md","000_Overview.md",".md","1.32","12/9/2025 1:13:34 PM"
"docs\Community\CTCX Release Branches\010_DeployOps Releases\14\14.3.0.7.1.1\14.3.0.7.1.1.md","14.3.0.7.1.1.md",".md","0.47","2/4/2026 12:53:37 PM"
"docs\Community\CTCX Release Branches\010_DeployOps Releases\14\14.3.0.7.1.2\14.3.0.7.1.2.md","14.3.0.7.1.2.md",".md","0.47","2/4/2026 12:53:37 PM"
"docs\Community\CTCX Release Branches\010_DeployOps Releases\14\14.3.0.7.1.3\14.3.0.7.1.3.md","14.3.0.7.1.3.md",".md","0.56","2/4/2026 12:53:37 PM"
"docs\Community\CTCX Release Branches\010_DeployOps Releases\2406\2406.0001\2406.0001-2024-09-01.md","2406.0001-2024-09-01.md",".md","0.37","2/4/2026 12:53:37 PM"
"docs\Community\CTCX Release Branches\010_DeployOps Releases\2406\2406.0002.0101\2406.0002.0101-2024-10-01.md","2406.0002.0101-2024-10-01.md",".md","0.39","2/4/2026 12:53:37 PM"
"docs\Community\CTCX Release Branches\010_DeployOps Releases\2406\2406.0002.0101\2406.0002.0101-development.md","2406.0002.0101-development.md",".md","0.29","2/4/2026 12:53:37 PM"
"docs\Community\CTCX Release Branches\010_DeployOps Releases\2406\2406.0002.0102\2406.0002.0102-development.md","2406.0002.0102-development.md",".md","0.29","2/4/2026 12:53:37 PM"
"docs\Community\CTCX Release Branches\010_DeployOps Releases\2412\2412.0001\2412.0001-2025-06-03.md","2412.0001-2025-06-03.md",".md","0.56","2/11/2026 12:27:40 PM"
"docs\Community\CTCX Release Branches\010_DeployOps Releases\2412\2412.0001\2412.0001-development.md","2412.0001-development.md",".md","0.38","2/4/2026 12:53:37 PM"
"docs\Community\CTCX Release Branches\010_DeployOps Releases\2412\2412.0001\2412.0001.md","2412.0001.md",".md","0.88","2/4/2026 12:53:37 PM"
"docs\Community\CTCX Release Branches\010_DeployOps Releases\2412\2412.0007\2412.0007-2025-08-19.md","2412.0007-2025-08-19.md",".md","0.39","2/11/2026 12:27:40 PM"
"docs\Community\CTCX Release Branches\010_DeployOps Releases\2506\2506.0003\aws\2506.0003-2025-10-27.md","2506.0003-2025-10-27.md",".md","0.71","2/11/2026 12:27:40 PM"
"docs\Community\CTCX Release Branches\010_DeployOps Releases\2506\2506.0003\azure\2506.0003-2025-09-11.md","2506.0003-2025-09-11.md",".md","0.59","2/4/2026 12:53:37 PM"
"docs\Community\CTCX Release Branches\010_DeployOps Releases\2506\2506.0003\azure\2506.0003-2025-09-22.md","2506.0003-2025-09-22.md",".md","0.6","2/4/2026 12:53:37 PM"
"docs\Community\CTCX Release Branches\010_DeployOps Releases\2506\2506.0003\azure\2506.0003-2025-11-06.md","2506.0003-2025-11-06.md",".md","0.62","2/4/2026 12:53:37 PM"
"docs\Community\CTCX Release Branches\010_DeployOps Releases\2506\2506.0003\azure\2506.0003-2025-11-12.md","2506.0003-2025-11-12.md",".md","0.63","2/4/2026 12:53:37 PM"
"docs\Community\CTCX Release Branches\010_DeployOps Releases\2506\2506.0006\aws\2506.0006-2025-12-15.md","2506.0006-2025-12-15.md",".md","0.38","2/11/2026 12:27:40 PM"
"docs\Community\CTCX Release Branches\010_DeployOps Releases\2506\2506.0006\aws\2506.0006-development.md","2506.0006-development.md",".md","0.39","2/4/2026 12:53:37 PM"
"docs\Community\CTCX Release Branches\010_DeployOps Releases\2506\2506.0006\azure\2506.0006-2026-02-09.md","2506.0006-2026-02-09.md",".md","0.5","2/13/2026 12:28:15 PM"
"docs\Community\CTCX Release Branches\010_DeployOps Releases\2506\2506.0006\azure\2506.0006-development.md","2506.0006-development.md",".md","0.39","2/4/2026 12:53:37 PM"
"docs\Community\CTCX Release Branches\010_DeployOps Releases\2512\000_2512.0000\000_2512.0000.md","000_2512.0000.md",".md","0.87","2/10/2026 11:28:46 AM"
"docs\CTCX-Intro\.git-reviewers.json",".git-reviewers.json",".json","0.05","1/20/2026 4:55:14 PM"
"docs\CTCX-Intro\000_Introduction and Scope\000_Introduction and Scope.md","000_Introduction and Scope.md",".md","0.44","12/9/2025 1:13:34 PM"
"docs\CTCX-Intro\000_Introduction and Scope\002_AZURE\000_Request an Azure Subscription.md","000_Request an Azure Subscription.md",".md","1.79","2/13/2026 12:05:56 PM"
"docs\CTCX-Intro\010_Containerized TcX Architecture Overview\000_Containerized TcX Architecture Overview.md","000_Containerized TcX Architecture Overview.md",".md","0.31","12/9/2025 1:13:34 PM"
"docs\CTCX-Intro\010_Containerized TcX Architecture Overview\010_AWS\000_Reference Architecture Components.md","000_Reference Architecture Components.md",".md","2.11","12/9/2025 1:13:34 PM"
"docs\CTCX-Intro\010_Containerized TcX Architecture Overview\010_AWS\010_Reference Architecture Deployment Considerations.md","010_Reference Architecture Deployment Considerations.md",".md","2.91","12/9/2025 1:13:34 PM"
"docs\CTCX-Intro\010_Containerized TcX Architecture Overview\010_AWS\image_1.png","image_1.png",".png","185.54","12/9/2025 1:13:34 PM"
"docs\CTCX-Intro\010_Containerized TcX Architecture Overview\020_AZURE\000_Reference Architecture Components.md","000_Reference Architecture Components.md",".md","2.77","12/9/2025 1:13:34 PM"
"docs\CTCX-Intro\010_Containerized TcX Architecture Overview\020_AZURE\010_Reference Architecture Deployment Consideration.md","010_Reference Architecture Deployment Consideration.md",".md","0.7","12/9/2025 1:13:34 PM"
"docs\CTCX-Intro\010_Containerized TcX Architecture Overview\020_AZURE\020_Setup Azure and Entra Groups and Roles.md","020_Setup Azure and Entra Groups and Roles.md",".md","8.01","12/9/2025 1:13:34 PM"
"docs\CTCX-Intro\010_Containerized TcX Architecture Overview\020_AZURE\030_Activating Roles and Groups via PIM.md","030_Activating Roles and Groups via PIM.md",".md","0.98","12/9/2025 1:13:34 PM"
"docs\CTCX-Intro\010_Containerized TcX Architecture Overview\020_AZURE\image_2.png","image_2.png",".png","57.12","12/9/2025 1:13:34 PM"
"docs\CTCX-Intro\010_Containerized TcX Architecture Overview\020_AZURE\image_3.png","image_3.png",".png","10.26","12/9/2025 1:13:34 PM"
"docs\CTCX-Intro\010_Containerized TcX Architecture Overview\020_AZURE\image_4.png","image_4.png",".png","27.07","12/9/2025 1:13:34 PM"
"docs\CTCX-Intro\010_Containerized TcX Architecture Overview\020_AZURE\image_5.png","image_5.png",".png","63.77","12/9/2025 1:13:34 PM"
"docs\CTCX-Intro\010_Containerized TcX Architecture Overview\020_AZURE\image_6.png","image_6.png",".png","89.49","12/9/2025 1:13:34 PM"
"docs\CTCX-Intro\010_Containerized TcX Architecture Overview\020_AZURE\image_7.png","image_7.png",".png","46.49","12/9/2025 1:13:34 PM"
"docs\CTCX-Intro\010_Containerized TcX Architecture Overview\020_AZURE\image_8.png","image_8.png",".png","12.37","12/9/2025 1:13:34 PM"
"docs\CTCX-Intro\010_Containerized TcX Architecture Overview\020_AZURE\image_9.png","image_9.png",".png","23.88","12/9/2025 1:13:34 PM"
"docs\Documentation\000_Cell-Setup\000_Automation Prerequisites\000_Automation Prerequisites.md","000_Automation Prerequisites.md",".md","0.21","12/9/2025 1:13:34 PM"
